,ULAND,IstFuss,IstRad,IstKrad,IstPKW,IstGkfz,IstSonstige,accidents,Bundesland,Einwohner31122019,Fahrleistung gesamt,Krafträder,PKW,Krad_rel,PKW_rel,fahrfreude
0,1,847,3895,1264,8676,439,1084,11282,Schleswig-Holstein,2903773,29640,437,25329,2.8924485125858124,0.3425322752576099,0.010207409463480789
1,2,926,2310,609,5653,360,999,6827,Hamburg,1847253,11333,159,9483,3.830188679245283,0.5961193715069071,0.006135055674561091
2,3,1841,7783,3067,22384,1490,2441,26908,Niedersachsen,7993608,80414,1248,68706,2.457532051282051,0.32579396268157074,0.010059787770428572
3,4,339,1174,229,2318,129,365,2940,Bremen,681202,4351,61,3675,3.7540983606557377,0.6307482993197279,0.006387239027483772
4,5,7084,16740,7694,46418,2554,5585,57454,Nordrhein-Westfalen,17947221,160422,2478,137212,3.1049233252623085,0.3382940267615077,0.008938542630081838
5,6,1741,3501,2628,16277,1123,2032,18951,Hessen,6288080,60368,985,52592,2.668020304568528,0.3094957407970794,0.009600386763527181
6,7,1181,2239,2403,10793,624,1123,13093,Rheinland-Pfalz,4093903,41273,726,35396,3.309917355371901,0.3049214600519833,0.010081577409137442
7,8,2768,8188,5280,26243,1741,3118,32964,Baden-Württemberg,11100394,104338,1993,90046,2.6492724535875563,0.2914399307020856,0.009399486180400443
8,9,3352,13698,7131,36095,2565,3884,47461,Bayern,13124737,127433,2730,106751,2.612087912087912,0.33812329626888743,0.00970937550977212
9,10,353,437,461,2873,120,305,3361,Saarland,986887,10771,179,9508,2.5754189944134076,0.30216659655027345,0.010914116813779086
10,11,1968,5005,1974,10908,465,1881,13390,Berlin,3669491,17897,314,14923,6.286624203821656,0.7309522214032032,0.004877243192584476
11,12,603,2708,1047,6920,520,940,8691,Brandenburg,2521893,25293,369,20853,2.83739837398374,0.3318467366805735,0.010029370794082065
12,14,1236,3889,1665,10082,540,1317,12625,Sachsen,4071971,34962,504,28642,3.3035714285714284,0.35200055862020807,0.008586013996661567
13,15,524,1926,855,5911,474,810,7124,Sachsen-Anhalt,2194782,22253,268,18549,3.1902985074626864,0.3186694700522939,0.010139047978341358
14,16,534,1056,838,4262,313,652,5299,Thüringen,2133378,19943,289,16359,2.8996539792387543,0.26052937221101535,0.009348085524459331
